"State","Agency.type","Agency.name","Race","Religion","Sexual.orientation","Ethnicity","Disability","Gender","Gender.Identity","X1st.quarter","X2nd.quarter","X3rd.quarter","X4th.quarter","Population","Total_Complaints"
"Minnesota","Cities","St. Cloud",6,0,0,2,0,"0",0,0,3,3,2,65977,8
"New_Jersey","Cities","Glassboro",8,0,2,2,0,"0",0,3,2,3,4,19038,12
"South_Dakota","Cities","Sioux Falls",3,1,0,0,0,"0",0,1,0,2,1,161754,4
"Michigan","Cities","Ann Arbor",1,1,1,0,0,"0",0,0,3,0,0,116799,3
"California","Cities","Los Gatos",2,0,0,0,0,"0",0,0,0,1,1,30351,2
"New_York","Universities and Colleges","State University of New York College: Purchase",0,1,0,0,0,"0",0,0,1,0,0,4240,1
"California","Cities","Palo Alto",0,0,0,1,0,"0",0,1,0,0,0,66964,1
"California","Cities","Cupertino",0,0,0,0,0,"0",1,0,0,0,1,60440,1
"Nevada","Cities","Las Vegas Metropolitan Police Department",27,9,23,6,0,"0",0,16,13,18,18,1500455,65
"New_York","Cities","Crawford Town",3,4,0,0,0,"0",0,0,1,0,6,9264,7
"Virginia","Universities and Colleges","Christopher Newport University",1,0,0,0,0,"0",0,0,0,1,0,5186,1
"Connecticut","Cities","Torrington",5,0,0,0,0,"0",0,1,3,1,0,35634,5
"New_York","Universities and Colleges","Cornell University",1,0,1,0,0,"0",0,0,1,1,NA,21424,2
"Ohio","Cities","Fairborn",2,0,0,0,0,"0",0,1,0,1,0,32820,2
"California","Cities","Hanford",1,0,1,0,0,"0",0,1,0,1,0,54425,2
"Arkansas","Cities","Cabot",1,0,0,0,0,"0",0,0,0,1,0,24695,1
"Michigan","Cities","Flint Township",2,0,0,0,0,"0",0,0,1,1,0,31182,2
"California","Cities","San Mateo",0,0,1,0,0,"0",0,0,0,1,0,100440,1
"Connecticut","Cities","North Branford",1,0,0,1,0,"0",0,2,0,0,0,14369,2
"Tennessee","Cities","Millersville",2,0,1,0,0,"0",0,0,0,3,0,6596,3
"West_Virginia","Cities","Charleston",3,3,1,0,0,"0",0,1,0,2,4,50919,7
"Massachusetts","Cities","Plymouth",9,1,0,0,0,"0",0,0,0,6,4,57893,10
"Florida","Cities","Sanford",0,0,1,0,0,"0",0,0,0,1,0,54972,1
"New_Jersey","Cities","Weehawken Township",1,0,1,0,0,"0",0,0,1,1,0,12937,2
"Washington","Cities","Port Townsend",1,1,1,0,0,"0",0,1,0,1,1,9112,3
"Kentucky","Cities","Burkesville",1,0,0,0,0,"0",0,0,0,1,0,1526,1
"New_Jersey","Cities","Plainsboro Township",0,0,0,0,1,"0",0,0,1,0,0,23256,1
"Illinois","Cities","Carol Stream",0,1,0,0,0,"0",0,1,0,0,0,40376,1
"Washington","Cities","Hoquiam",1,0,0,0,0,"0",0,1,0,0,0,8472,1
"Texas","Cities","Mercedes",1,0,0,0,0,"0",0,0,0,1,0,16480,1
"New_York","Cities","Rockville Centre Village",0,1,0,0,0,"0",0,0,1,0,0,24129,1
"Minnesota","Cities","Shakopee",0,0,1,0,0,"0",0,1,0,0,0,39214,1
"New_York","Cities","Cohoes",1,0,0,0,0,"0",0,0,1,0,0,16179,1
"Washington","Cities","Covington",0,1,0,0,0,"0",0,0,1,0,0,18526,1
"Tennessee","Cities","Burns",1,0,0,0,0,"0",0,0,0,1,0,1469,1
"New_York","Universities and Colleges","State University of New York Agricultural and Technical College: Cobleskill",0,0,1,0,0,"0",0,0,0,0,1,2492,1
"California","Cities","Westlake Village",0,2,0,0,0,"0",0,2,0,0,0,8440,2
"California","Cities","Healdsburg",1,0,0,0,0,"0",0,1,0,0,0,11483,1
"Indiana","Universities and Colleges","Purdue University",2,0,1,0,0,"0",0,1,1,1,NA,40393,3
"New_Jersey","Cities","Old Bridge Township",1,0,1,0,0,"0",0,1,0,1,0,66528,2
"North_Dakota","Cities","Dickinson",0,1,0,0,0,"0",0,0,0,1,0,20347,1
"California","Cities","Rancho Cordova",1,0,0,0,0,"0",0,1,0,0,0,67634,1
"California","Cities","Pinole",0,0,0,1,0,"0",0,0,0,1,0,18848,1
"Oklahoma","Cities","Blanchard",1,0,0,0,0,"0",0,1,0,0,0,8016,1
"Connecticut","Cities","Middletown",5,0,1,1,0,"0",0,0,3,1,3,47221,7
"Kansas","Cities","Mulvane",1,0,0,0,0,"0",0,0,0,1,0,6307,1
"Virginia","Cities","Virginia Beach",3,2,0,0,0,"0",0,1,1,1,2,450687,5
"Kentucky","Cities","Bellevue",0,0,1,0,0,"0",0,1,0,0,0,5918,1
"Ohio","Cities","Butler Township",0,0,0,0,1,"0",0,1,0,0,0,7864,1
"Ohio","Cities","Alliance",0,0,0,1,0,"0",0,0,NA,1,NA,22144,1
"Massachusetts","Cities","Needham",2,0,0,0,0,"0",0,0,0,1,1,29544,2
"Illinois","Cities","Skokie",2,0,0,1,0,"0",0,0,2,0,1,65155,3
"Ohio","Cities","Urbana",1,1,0,0,0,"0",0,2,0,0,0,11599,2
"New_Hampshire","Cities","Newbury",0,0,1,0,0,"0",0,1,0,0,0,2110,1
"Michigan","Cities","Sparta",0,2,0,0,0,"0",0,0,1,1,0,4224,2
"Oregon","Cities","Springfield",2,0,0,1,0,"0",0,0,1,1,1,60024,3
"Massachusetts","Universities and Colleges","Dean College",0,1,0,0,0,"0",0,0,0,0,1,1322,1
"New_Jersey","Cities","Moorestown Township",1,0,0,0,0,"0",0,0,0,1,0,20706,1
"New_Jersey","Cities","Evesham Township",7,1,0,0,0,"0",0,4,3,1,0,45798,8
"California","Cities","San Diego",18,12,12,1,0,"0",0,7,10,17,9,1349306,43
"New_Jersey","Cities","Vineland",0,1,1,0,0,"0",0,0,1,0,1,60863,2
"Utah","Cities","Salt Lake City",3,1,1,0,0,"0",0,0,3,0,2,190246,5
"Kansas","Cities","Lenexa",1,0,0,0,0,"0",0,0,1,0,0,49777,1
"Michigan","Cities","Grandville",1,0,1,1,1,"0",0,2,0,2,0,15669,4
"Massachusetts","Cities","Cambridge",4,3,3,3,0,"0",0,6,2,3,2,107282,13
"Michigan","Cities","Owosso",1,0,0,0,0,"0",0,1,0,0,0,14745,1
"Washington","Universities and Colleges","Washington State University, Pullman",0,0,1,0,0,"0",0,0,0,0,1,27679,1
"California","Cities","Brentwood3",4,0,0,0,0,"0",0,0,1,2,1,54301,4
"New_Jersey","Cities","Keansburg",3,0,1,0,0,"0",0,1,0,2,1,9981,4
"California","Universities and Colleges","University of California: Berkeley",3,2,1,1,0,"0",0,1,1,4,1,35893,7
"Michigan","Cities","Pittsfield Township",1,0,2,0,0,"0",0,1,2,0,0,36091,3
"California","Universities and Colleges","California State University: Long Beach",1,0,0,0,0,"0",0,0,1,0,0,36279,1
"California","Cities","Orange",1,1,1,0,0,"0",0,0,1,2,0,140304,3
"Washington","Cities","Cheney",3,0,0,0,0,"0",0,1,1,0,1,11117,3
"Utah","Cities","Tooele",0,1,0,0,0,"0",0,1,0,0,0,32241,1
"Delaware","Cities","Milton",1,0,0,0,0,"0",0,1,0,0,0,2687,1
"Kansas","Cities","Leavenworth",1,0,0,0,0,"0",0,1,0,0,0,35965,1
"Michigan","Cities","Lincoln Township",1,0,0,0,0,"0",0,0,0,1,0,14618,1
"California","Cities","Oceanside",5,1,1,1,0,"0",0,2,4,2,0,172525,8
"Michigan","Cities","Burton",2,0,0,0,0,"0",0,0,1,0,1,29263,2
"Massachusetts","Cities","Newburyport",0,0,1,0,0,"0",0,0,0,1,0,17773,1
"North_Dakota","Cities","Valley City",1,0,0,0,0,"0",0,1,0,0,0,6580,1
"California","Cities","Manteca",1,1,1,0,0,"0",0,1,1,0,1,72261,3
"California","Cities","Vernon",1,0,0,0,0,"0",0,0,1,0,0,115,1
"North_Carolina","Cities","Huntersville",1,0,0,0,0,"0",0,0,0,1,0,50162,1
"Minnesota","Universities and Colleges","University of Minnesota, Morris",1,0,0,0,0,"0",0,0,0,1,0,1896,1
"Michigan","Cities","Grand Blanc Township",2,0,0,0,0,"0",0,1,0,0,1,36793,2
"Connecticut","Cities","East Hartford",0,0,1,0,0,"0",0,0,1,0,0,51275,1
"New_Jersey","Cities","Runnemede",0,1,0,0,0,"0",0,0,0,0,1,8459,1
"California","Cities","Taft",0,0,1,0,0,"0",0,1,0,0,0,8839,1
"Maine","Cities","Mexico",1,0,0,0,0,"0",0,1,0,0,0,2633,1
"Tennessee","Cities","Monterey",0,0,0,1,0,"0",0,0,1,0,0,2829,1
"Washington","Universities and Colleges","University of Washington",3,2,0,0,0,"0",0,0,2,0,3,43485,5
"Tennessee","Cities","Covington",1,0,0,12,4,"0",0,3,1,5,8,9076,17
"Michigan","Cities","Franklin",2,0,0,0,0,"0",0,0,1,1,0,3194,2
"Florida","Cities","Jacksonville",5,0,0,0,0,"0",0,3,1,1,0,845745,5
"North_Carolina","Cities","Hickory",0,0,1,0,0,"0",0,0,1,0,0,40109,1
"Massachusetts","Cities","Plainville",1,0,0,0,0,"0",0,1,0,0,0,8512,1
"Texas","Cities","Grapevine",1,0,0,0,0,"0",0,0,0,1,0,49075,1
"Texas","Cities","San Antonio",3,0,7,1,0,"0",0,3,3,3,2,1399725,11
"Colorado","Cities","Commerce City",0,1,0,0,0,"0",0,0,0,1,0,49200,1
"New_York","Universities and Colleges","State University of New York College: Cortland",2,1,0,0,0,"0",0,1,1,0,1,7098,3
"Michigan","Cities","Dearborn",7,2,2,3,0,"0",0,7,4,2,1,96012,14
"New_Jersey","Cities","Closter",0,0,1,0,0,"0",0,1,0,0,0,8548,1
"Minnesota","Cities","Rochester",2,0,0,2,0,"0",0,0,2,2,0,109675,4
"Washington","Cities","Sedro Woolley",1,0,0,0,0,"0",0,0,0,1,0,10652,1
"Illinois","Cities","Champaign",1,0,0,0,0,"0",0,0,1,0,0,82966,1
"Michigan","Cities","Portage",1,0,0,0,0,"0",0,1,0,0,0,47387,1
"Minnesota","Cities","Eagan",0,2,0,0,0,"0",0,0,1,1,0,65052,2
"New_Jersey","Cities","Newark",2,0,1,0,0,"0",0,0,2,0,1,278246,3
"Colorado","Cities","Colorado Springs",3,1,2,1,0,"0",0,2,4,1,0,436108,7
"New_Jersey","Cities","Washington",3,1,0,0,0,"0",0,1,0,2,1,6408,4
"Kentucky","Cities","Bowling Green",4,0,2,2,0,"0",0,1,2,4,1,61130,8
"Michigan","Universities and Colleges","Eastern Michigan University",1,0,0,0,0,"0",0,0,0,0,1,23518,1
"New_York","Cities","Poughkeepsie",0,0,0,2,1,"0",1,2,1,0,1,30778,4
"Tennessee","Cities","Millington",2,0,0,4,0,"0",0,0,2,0,4,10500,6
"South_Carolina","Cities","Clover",0,0,1,0,0,"0",0,0,0,1,0,5342,1
"North_Carolina","Cities","Greensboro",3,0,0,0,0,"0",0,0,1,0,2,279343,3
"Massachusetts","Cities","South Hadley",1,0,1,0,0,"0",0,0,0,1,1,17794,2
"Ohio","Cities","Cleveland",1,0,5,1,0,"0",0,1,0,4,2,389181,7
"Iowa","Cities","Waterloo",1,0,0,0,0,"0",0,0,0,0,1,68255,1
"Tennessee","Cities","Mount Carmel",0,0,0,0,1,"0",0,0,1,0,0,5422,1
"New_Jersey","Cities","Little Falls Township",0,0,1,0,0,"0",0,0,1,0,0,14504,1
"Nebraska","Cities","Omaha",4,2,2,1,0,"0",0,2,3,3,1,425076,9
"Massachusetts","Cities","Kingston",0,1,0,0,0,"0",0,0,0,1,0,12791,1
"New_York","Cities","Ithaca",0,0,1,0,0,"0",0,0,1,0,NA,30433,1
"Ohio","Cities","Dayton",5,0,2,1,0,"0",0,2,3,1,2,141167,8
"New_York","Cities","Hyde Park Town",1,0,0,0,0,"0",0,0,0,1,0,21397,1
"California","Cities","Gilroy",0,0,2,0,0,"0",0,0,1,1,0,51240,2
"Massachusetts","Cities","Taunton",2,0,0,0,0,"0",0,1,0,1,0,56264,2
"Kentucky","Cities","Ravenna",1,0,0,0,0,"0",0,0,1,0,0,595,1
"Washington","Cities","Normandy Park",2,0,0,0,0,"0",0,1,0,1,0,6556,2
"Rhode_Island","Cities","Central Falls",1,0,0,0,0,"0",0,0,1,0,0,19404,1
"Florida","Cities","Sunrise",1,0,0,0,0,"0",0,1,0,0,0,90274,1
"Tennessee","Cities","McMinnville",0,0,0,1,0,"0",0,0,0,0,1,13595,1
"New_Jersey","Cities","Verona",0,1,0,0,0,"0",0,0,1,0,0,13429,1
"California","Cities","Jurupa Valley",0,1,0,0,0,"0",0,0,0,1,0,98090,1
"Illinois","Cities","Quincy",1,0,0,0,0,"0",0,0,0,0,1,40841,1
"Utah","Cities","Pleasant Grove",2,0,0,0,0,"0",0,0,0,1,1,34796,2
"Minnesota","Cities","Eden Prairie",1,0,0,0,0,"0",0,0,0,0,1,62714,1
"California","Cities","Rancho Palos Verdes",0,1,0,0,0,"0",0,0,0,0,1,42542,1
"Washington","Cities","Spokane",1,0,1,0,0,"0",0,1,NA,0,1,209524,2
"Connecticut","Cities","New Haven",5,0,4,1,0,"0",0,3,2,4,1,131071,10
"Florida","Cities","Orlando",1,0,1,0,0,"0",0,2,0,0,0,253238,2
"Maine","Cities","Searsport",0,0,1,0,0,"0",0,1,0,0,0,2618,1
"Massachusetts","Cities","Braintree",3,0,0,0,0,"0",0,0,2,1,0,36496,3
"California","Cities","Montclair",2,0,0,0,0,"0",0,1,0,1,0,37785,2
"Ohio","Cities","Mentor-on-the-Lake",1,0,0,1,0,"0",0,0,0,2,0,7434,2
"California","Cities","Torrance",1,0,0,1,0,"0",0,0,0,2,0,147534,2
"Michigan","Cities","Birmingham",1,1,0,0,0,"0",0,1,0,1,0,20544,2
"North_Carolina","Cities","Wilmington",3,0,1,0,0,"0",0,3,0,0,1,110985,4
"Ohio","Cities","Norwood",1,0,0,2,0,"0",0,0,1,1,1,19052,3
"Massachusetts","Universities and Colleges","Emerson College",1,0,0,0,0,"0",0,0,0,0,1,4531,1
"Washington","Cities","Yakima",1,0,1,0,0,"0",0,1,0,0,1,93589,2
"California","Cities","Ontario",1,0,0,0,0,"0",0,0,1,0,0,168144,1
"Ohio","Cities","Warren Township",1,0,0,0,0,"0",0,0,0,0,1,5450,1
"Colorado","Cities","Greenwood Village",1,0,0,0,0,"0",0,0,1,0,0,14614,1
"Michigan","Cities","Utica",2,0,0,0,0,"0",0,0,1,0,1,4765,2
"Minnesota","Cities","Moorhead",1,0,1,0,0,"0",0,0,0,1,1,39322,2
"California","Cities","Fairfield",2,0,0,1,0,"0",0,1,0,0,2,108425,3
"Kentucky","Cities","Oak Grove",1,0,0,0,0,"0",0,0,0,1,0,7638,1
"Washington","Cities","Sunnyside",1,0,0,1,0,"0",0,1,0,0,1,16099,2
"Connecticut","Cities","Stratford",1,1,0,1,0,"0",0,0,1,1,1,52285,3
"New_Jersey","Cities","Cranford Township",0,1,0,0,0,"0",0,1,0,0,0,23165,1
"Tennessee","Cities","Kingsport",2,0,0,0,0,"0",0,0,0,1,1,51496,2
"New_Jersey","Cities","East Hanover Township",0,1,0,0,0,"0",0,0,0,0,1,11350,1
"Oregon","Cities","Toledo",2,0,1,0,1,"0",0,1,2,1,0,3461,4
"Colorado","Cities","Englewood",1,0,0,0,1,"0",0,0,0,0,2,31454,2
"New_York","Universities and Colleges","State University of New York Agricultural and Technical College: Morrisville",0,0,0,0,0,"1",0,0,1,0,0,3095,1
"Washington","Cities","Pullman",2,0,0,0,0,"0",0,2,0,0,0,31895,2
"California","Cities","Oakland",4,1,4,2,0,"0",0,2,4,3,2,403887,11
"New_Jersey","Cities","Neptune Township",10,0,3,1,0,"0",0,0,8,2,4,27856,14
"New_Jersey","Cities","Manalapan Township",1,0,0,2,0,"0",0,2,0,1,0,39313,3
"Michigan","Cities","Kentwood",2,0,0,0,0,"0",0,0,0,1,1,50016,2
"Alabama","Cities","Tuscaloosa",1,0,0,0,0,"0",0,0,0,1,0,94126,1
"New_Jersey","Cities","Howell Township",5,6,4,3,0,"0",0,2,7,5,4,51100,18
"Tennessee","Cities","Humboldt",1,0,0,0,0,"0",0,0,0,1,0,8458,1
"California","Cities","Visalia",1,0,1,0,0,"0",0,1,1,0,0,127824,2
"New_Jersey","Cities","Glen Ridge",0,1,0,0,0,"0",0,0,1,0,0,7626,1
"Arizona","Cities","Goodyear",0,0,2,0,0,"0",0,1,NA,1,0,71048,2
"California","Cities","Malibu",1,0,0,0,0,"0",0,0,0,1,0,12891,1
"Massachusetts","Cities","Billerica",0,1,0,0,0,"0",0,0,0,0,1,41926,1
"Oklahoma","Cities","Choctaw",1,0,0,0,0,"0",0,1,0,0,0,11768,1
"New_Jersey","Cities","Pemberton Township",1,0,0,0,0,"0",0,0,0,0,1,27949,1
"Ohio","Cities","Wapakoneta",1,0,0,0,0,"0",0,0,0,1,0,9812,1
"Massachusetts","Cities","Brookline",0,1,0,0,0,"0",0,1,0,0,0,59382,1
"Maryland","Cities","Baltimore",0,1,0,1,0,"0",0,1,0,0,1,622671,2
"Utah","Universities and Colleges","Utah State University, Logan",0,0,1,0,0,"0",0,0,0,0,1,28786,1
"Michigan","Cities","Jonesville",1,0,0,0,0,"0",0,0,0,0,1,2231,1
"Illinois","Cities","Urbana",2,0,0,0,0,"0",0,0,0,1,1,41598,2
"New_Jersey","Cities","Morris Township",0,1,0,0,0,"0",0,0,0,0,1,22640,1
